"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,1,7,50926,NA
1972,1,NA,1,0,69444,NA
1972,1,NA,1,1,69444,NA
1972,1,NA,1,7,11111,NA
1972,1,NA,1,1,69444,NA
1972,1,NA,1,2,69444,NA
1972,1,NA,1,4,69444,NA
1972,1,NA,1,2,83333,NA
1972,1,NA,1,5,50926,NA
1972,1,NA,1,2,50926,NA
1972,1,NA,1,2,25926,NA
1972,1,NA,1,1,50926,NA
1972,1,NA,3,6,33333,NA
1972,1,NA,3,6,50926,NA
1972,1,NA,3,7,25926,NA
1972,1,NA,3,5,50926,NA
1972,1,NA,3,7,41667,NA
1972,1,NA,3,7,11111,NA
1972,1,NA,3,6,69444,NA
1972,2,NA,7,1,3704,NA
1972,2,NA,7,1,18519,NA
1972,2,NA,7,0,18519,NA
1972,2,NA,7,7,11111,NA
1972,2,NA,7,1,25926,NA
1972,2,NA,7,7,3704,NA
1972,2,NA,7,1,3704,NA
1972,1,NA,7,0,NA,NA
1972,1,NA,7,1,41667,NA
1972,1,NA,7,5,41667,NA
1972,1,NA,7,1,18519,NA
1972,1,NA,7,1,25926,NA
1972,1,NA,7,2,33333,NA
1972,1,NA,7,0,60185,NA
1972,2,NA,6,0,18519,NA
1972,2,NA,6,0,18519,NA
1972,2,NA,6,0,18519,NA
1972,2,NA,6,0,18519,NA
1972,2,NA,6,0,11111,NA
1972,2,NA,6,0,18519,NA
1972,2,NA,6,1,11111,NA
1972,2,NA,6,0,11111,NA
1972,1,NA,4,3,11111,NA
1972,1,NA,4,5,18519,NA
1972,1,NA,4,1,18519,NA
1972,1,NA,4,5,3704,NA
1972,1,NA,4,5,18519,NA
1972,1,NA,4,5,33333,NA
1972,1,NA,4,4,11111,NA
1972,1,NA,2,0,50926,NA
1972,1,NA,2,1,3704,NA
1972,1,NA,2,3,41667,NA
1972,1,NA,2,5,41667,NA
1972,1,NA,2,0,3704,NA
1972,1,NA,2,1,33333,NA
1972,1,NA,2,3,11111,NA
1972,1,NA,2,1,41667,NA
1972,1,NA,2,5,33333,NA
1972,1,NA,2,5,18519,NA
1972,1,NA,2,5,33333,NA
1972,1,NA,2,5,NA,NA
1972,1,NA,2,5,50926,NA
1972,1,NA,2,6,25926,NA
1972,1,NA,2,1,69444,NA
1972,1,NA,2,5,18519,NA
1972,1,NA,5,6,33333,NA
